text,category
45 лекарства,Здоровье
вода за 2000,Продукты
оплата музей,Развлечения
потратил на метро,Транспорт
леруа,Хозтовары
купил отопление,ЖКХ и аренда
кофе на вынос сегодня,Кофейни
ПОТРАТИЛ НА МЕТРО,Транспорт
1000 помада,Косметика
оплата анализы,Здоровье
купил яндекс плюс,Подписки
потратил на сыр,Продукты
онлайн курс!,Учёба
ОПЛАТА ПОДРАБОТКА,Подработка
потратил на аэрофлот,Путешествия
купил консультация,Подработка
делимобиль сегодня,Транспорт
флэт уайт сегодня,Кофейни
сновап ятёрочка,Продукты
ОПЛАТА СЕКЦИЯ,Спорт
консультация сегодня,Подработка
тур за 2000,Путешествия
потратил на нетфликс,Подписки
яндекс такси!,Транспорт
оптратил на фриланс,Подработка
75 кфс,Рестораны
120 кофенйя,Кофейни
учёба,Учёба
купила фитнес,Спорт
купил английский,Учёба
трамвай за 2000,Транспорт
окулист за 349,Здоровье
купил халтура,Подработка
купил букет,Подарки
снова подписка вк,Подписки
снова бензин,Транспорт
узи,Здоровье
349 зп,Зарплата
вода счёт!,ЖКХ и аренда
заказ за 500,Подработка
купила фриланс,Подработка
ЛТЕУАЛЬ,Косметика
тушь!,Косметика
купил гонорар,Подработка
снова вебинар,Учёба
купила билеты на самолёт,Путешествия
снова раф,Кофейни
вебинар,Учёба
снова заправка,Транспорт
купила иви,Подписки
снова оклад,Зарплата
снов акофе,Кофейни
АПТЕКА ЗА 990,Здоровье
СКУРАТОВ СЕГОДНЯ,Кофейни
КУПИЛ КАЛЬЯН,Развлечения
оплата йога,Спорт
билайн 100,Связь
снова симка,Связь
золотое яблоко!,Косметика
КУПИЛ РОЛЛЫ,Рестораны
КУПИЛА СВЯЗЬ,Связь
медцентр сегодня,Здоровье
потратил на перекресток,Продукты
симка есгодня,Связь
средство для мытья сегодня,Хозтовары
оплата заказ,Подработка
аванс,Зарплата
стоматолог,Здоровье
яндекс плюс сегодня,Подписки
потратил на духи,Косметика
каршеирнг сегодня,Транспорт
45 икеа,Хозтовары
купил лекция,Учёба
жильё!,Путешествия
потратил на бытовая химия,Хозтовары
ЛЕРУА СЕГОДНЯ,Хозтовары
потратил на подписка на приложение,Подписки
СНВОА ПЕРЕКРЕСТОК,Продукты
чеомдан!,Путешествия
сноав белка,Транспорт
снова премия,Зарплата
349 поела,Рестораны
хостел,Путешествия
снова лтеуаль,Косметика
57 бар,Развлечения
потратил на зара,Одежда
купила протеин,Спорт
билайн,Связь
абонемент,Спорт
оплата шоколадница,Кофейни
футболак,Одежда
потратил на скалодром,Спорт
зарплата,Зарплата
1500 ВКУСВИЛЛ,Продукты
оплата самокат,Транспорт
СНОВА АНГЛИЙСКИЙ,Учёба
купил цветы,Подарки
оплата скуратов,Кофейни
поел сегодня,Рестораны
молоко сегодня,Продукты
букет за 990,Подарки
перекрёсток 54,Продукты
зп за 100,Зарплата
250 коктейль,Развлечения
оплата золотое яблоко,Косметика
зп сегодня,Зарплата
КУПИЛ ШАРИКИ,Подарки
купил флэт уайт,Кофейни
купил абонемент,Спорт
оплата шарики,Подарки
ЛЕНТА СЕГОДНЯ,Продукты
помада сегодня,Косметика
купил фитнес,Спорт
купил спортпит,Спорт
перекрёсток!,Продукты
купила поела,Рестораны
виза за 500,Путешествия
3000 театр,Развлечения
буст за 3000,Подписки
снова перекрёсток,Продукты
УРБАШКА СЕГОДНЯ,Одежда
премия!,Зарплата
иви!,Подписки
потратил нак офе,Кофейни
учебник 45,Учёба
сонва стакан кофе,Кофейни
СНОВА КВИТАНЦИЯ,ЖКХ и аренда
оплата кофе,Кофейни
шаурма!,Рестораны
анализы,Здоровье
потратил на жильё,Путешествия
тренировка 120,Спорт
купил консультация,Подработка
купил выставка,Развлечения
презент за 75,Подарки
оплата бронь отеля,Путешествия
киноописк сегодня,Подписки
120 подписка,Подписки
СТОМАТОЛОГ!,Здоровье
оплата бытовая химия,Хозтовары
яндекс музыка!,Подписки
тройка 990,Транспорт
снова сотовая связь,Связь
оплата мегафон,Связь
уходовая косметика 3000,Косметика
лекарства,Здоровье
снова яндекс такси,Транспорт
диски,Продукты
спортзал 349,Спорт
потратил на автобус,Транспорт
купил мусорные пакеты,Хозтовары
ОПЛАТА ПОДАРКИ,Подарки
купила коктейль,Развлечения
снова трансфер,Путешествия
спотифай!,Подписки
учебник за 45,Учёба
ПОТРАТИЛ НА ТОРЙКА,Транспорт
творог сегодня,Продукты
снова книга,Учёба
потраитл на отель,Путешествия
мусонрые пакеты сегодня,Хозтовары
таблетки 2000,Здоровье
потратил на кроссовки,Одежда
45 маска для лица,Косметика
средство для мытья за 250,Хозтовары
купила пришла зарплата,Зарплата
угбки 100,Хозтовары
заправка 349,Транспорт
снова квартплата,ЖКХ и аренда
салфетки за 120,Хозтовары
занятие!,Учёба
врач,Здоровье
приём врача сегодня,Здоровье
оклад!,Зарплата
купи лстендап,Развлечения
купила занятие,Учёба
снова яндекс плюс,Подписки
аванс 3000,Зарплата
купил иви,Подписки
купил подарочная карта,Подарки
кофе с собой за 500,Кофейни
яндекс музыка 3000,Подписки
3000 storage icloud,Подписки
подписка на приложение за 1500,Подписки
потратил на yota,Связь
купил скалодром,Спорт
бизнес ланч!,Рестораны
потратил на капли,Здоровье
купила выплата зарплаты,Зарплата
ПОТРАТИЛ НА ОЕБД,Рестораны
теле2 за 120,Связь
домофон!,ЖКХ и аренда
купила аванс,Зарплата
снова мтс,Связь
караоке сегодня,Развлечения
купила теннис,Спорт
купила отопление,ЖКХ и аренда
оплата продукты,Продукты
0300 букет,Подарки
100 коктейль,Развлечения
мтс!,Связь
потратил на ашан,Продукты
потратил на подарок другу,Подарки
купила врач,Здоровье
додо за 100,Рестораны
кинопоиск 250,Подписки
подписка на приложение за 75,Подписки
потратил на домофон,ЖКХ и аренда
снова уникло,Одежда
купил губки,Хозтовары
купила платье,Одежда
потрати лна тренировка,Спорт
45 открытка,Подарки
потратил на консультация,Подработка
СПОТИФАЙ 990,Подписки
zara,Одежда
кпуил одежда,Одежда
подарок другу,Подарки
снова вода,Продукты
яндекс такси,Транспорт
аренда квартиры за 45,ЖКХ и аренда
купила самокат,Транспорт
тренировка!,Спорт
3000 греча,Продукты
свыоротка,Косметика
подарки 990,Подарки
страховка для поездки сегодня,Путешествия
отоплнеие,ЖКХ и аренда
подработка выплата,Подработка
ПОТРАТИЛ НА ДУХИ,Косметика
оплата бассейн,Спорт
оплата гонорар,Подработка
тушь,Косметика
проезд!,Транспорт
ОПЛАТА УЧЕБА,Учёба
потратил на платье,Одежда
ВКУСВИЛЛ ЗА 1000,Продукты
100 джинсы,Одежда
интернет домой!,ЖКХ и аренда
купил теле2,Связь
автошкола 250,Учёба
купил тушь,Косметика
свитер сегодня,Одежда
120 прозед,Транспорт
ПОТРАТИЛ НА ИВИ,Подписки
самокат,Транспорт
пополнение телефона 349,Связь
1500 стоматолог,Здоровье
купил учеба,Учёба
занятие по вождению!,Учёба
оплата кофта,Одежда
мазь за 120,Здоровье
кофе с собой сегодня,Кофейни
трамвай,Транспорт
купила азказ,Подработка
аванс!,Зарплата
коммуналка!,ЖКХ и аренда
ЗАНЯТИЕ,Учёба
снова вода счёт,ЖКХ и аренда
подарок маме за 75,Подарки
zara 75,Одежда
потратил на кфс,Рестораны
120 яндекс плюс,Подписки
потратил на салфетки,Хозтовары
гастроном сегодня,Продукты
купил протеин,Спорт
купила кафе,Рестораны
коммуналка сегодня,ЖКХ и аренда
лекция 100,Учёба
выплата зарплаты!,Зарплата
оплата уходовая косметика,Косметика
оплата чемодан,Путешествия
потратил на yota,Связь
ПОДАРБОТКА ВЫПЛАТА ЗА 1000,Подработка
тур!,Путешествия
получка сегодня,Зарплата
120 квитанция,ЖКХ и аренда
перекрёсток!,Продукты
подработка выплат!а,Подработка
120 роллы,Рестораны
потратил на связь,Связь
зарплата!,Зарплата
купил аптека,Здоровье
потратил на кино,Развлечения
оплата кофта,Одежда
снова подарок другу,Подарки
купила открытка,Подарки
счёт за свет!,ЖКХ и аренда
рубашка 250,Одежда
купила крем,Косметика
клуб 1050,Развлечения
купил авиабилеты,Путешествия
оплата фикс прайс,Хозтовары
потратил на клуб,Развлечения
клиника,Здоровье
ланч сегодня,Рестораны
оплата спортзал,Спорт
мясо 45,Продукты
мазь,Здоровье
ЦВЕТЫ ЗА 1000,Подарки
3000а эрофлот,Путешествия
тренер сегодня,Спорт
349 подписка вк,Подписки
500 авиабилеты,Путешествия
ХОСТЕЛ 990,Путешествия
снова гастроном,Продукты
купил маска для лица,Косметика
2000 массаж,Здоровье
коммуналка!,ЖКХ и аренда
хостел 990,Путешествия
потратил на куртка,Одежда
подарок маме сегодня,Подарки
купилад икси,Продукты
купила самокат,Транспорт
снова делимобиль,Транспорт
английский 349,Учёба
симка за 2000,Связь
купила наглийский,Учёба
потратил на белка,Транспорт
купили ви,Подписки
3000 кофейня,Кофейни
3000 букинг,Путешествия
тройка за 75,Транспорт
абонемент,Спорт
снова летуаль,Косметика
квест сегодня,Развлечения
потратил на латте,Кофейни
потратил на крем,Косметика
потратил на подработка выплата,Подработка
КУПИЛ ФРИЛАНС,Подработка
ресторан за 120,Рестораны
подписка сегодня,Подписки
снова английский,Учёба
хозтовары сегодня,Хозтовары
потратил на белка,Транспорт
СНОВА УЧЕБА,Учёба
990 таетр,Развлечения
додо,Рестораны
потратил на сотовая связь,Связь
снова самокат,Транспорт
подписак на приложение сегодня,Подписки
хлеб сегодня,Продукты
репетиторство доход 1500,Подработка
приём врача!,Здоровье
лекция 2000,Учёба
оплата носки,Одежда
фитнес з а1500,Спорт
349 вода счёт,ЖКХ и аренда
бронь отеля,Путешествия
губки 120,Хозтовары
потратил на греча,Продукты
снова подработка выплата,Подработка
оплата караоке,Развлечения
купила выплата зарплаты,Зарплата
духи 120,Косметика
домофон за 990,ЖКХ и аренда
1000 квартплата,ЖКХ и аренда
пятёрочка 1000,Продукты
тренер сегодня,Спорт
купил цветы,Подарки
авиабилеты,Путешествия
музей за 100,Развлечения
укпила нетфликс,Подписки
выплата зарплаыт,Зарплата
оплаат такси,Транспорт
связь!,Связь
раф сегодян,Кофейни
флэт уайт за 990,Кофейни
349 конусльтация,Подработка
кинопоиск,Подписки
потратил на пришла зарплата,Зарплата
цветы,Подарки
потратил на жкх,ЖКХ и аренда
куратов,Кофейни
снова бар,Развлечения
снова подписка на приложеине,Подписки
лампочка за 120,Хозтовары
купила курс,Учёба
1000 тройка,Транспорт
75 мусорныеп акеты,Хозтовары
45 мазь,Здоровье
снова подарок,Подарки
автобус,Транспорт
получка сегодня,Зарплата
КУПИЛА ПОДАРОК ДРУГУ,Подарки
оплата яндекс плюс,Подписки
фикс прайс!,Хозтовары
потратил на поела,Рестораны
потратил на яндекс плюс,Подписки
джинс!ы,Одежда
потратил на концерт,Развлечения
купила йога,Спорт
ПОТРАТИЛ Н АКАРШЕРИНГ,Транспорт
маска для лица!,Косметика
АБОНЕМЕНТ СЕГОДНЯ,Спорт
75 мазь,Здоровье
ркем!,Косметика
стоматолог сегодня,Здоровье
оплата коктейль,Развлечения
3000 йога,Спорт
оплата такси,Транспорт
349 уходовая косметика,Косметика
сотовая связь!,Связь
маска для лица!,Косметика
оплата тариф,Связь
оплата билеты на концерт,Развлечения
одежда сегодня,Одежда
купил витамины,Здоровье
купил шампунь,Косметика
75 флэт уайт,Кофейни
1000 букет,Подарки
оплата книга,Учёба
кинопоиск,Подписки
онлайн курс за 1500,Учёба
оплата подработка,Подработка
порошок,Хозтовары
купил симка,Связь
губки,Хозтовары
990 ЛАМПОЧКА,Хозтовары
снова уникол,Одежда
120 учебник,Учёба
купил кроссовки,Одежда
оуклист 2000,Здоровье
бельё!,Одежда
вебинар,Учёба
делимобиль сегодня,Транспорт
оплата репетиторство доход,Подработка
БИЗНЕС ЛАНЧ,Рестораны
подарок!,Подарки
3000 концерт,Развлечения
купил поадрки,Подарки
120 яндекс такси,Транспорт
снова косметика,Косметика
ОПЛАТА ПРОТЕИН,Спорт
подписка на приложение,Подписки
врач за 120,Здоровье
оплата букет,Подарки
купил учёба,Учёба
спортпит за 75,Спорт
обед,Рестораны
купли ланч,Рестораны
оплата аванс,Зарплата
белка за 500,Транспорт
потратил на скалодром,Спорт
подарочная карта 100,Подарки
караоке,Развлечения
1500 проект,Подработка
2000 тренировка,Спорт
аттракционы!,Развлечения
анализы сегодня,Здоровье
яндекс музыка,Подписки
аренда квартиры за 120,ЖКХ и аренда
снова врач,Здоровье
окулист за 45,Здоровье
жлиьё,Путешествия
ПОТРАТИЛ НА ПРИШЛА ЗАРПЛАТА,Зарплата
мтс,Связь
носки за 250,Одежда
билайн 100,Связь
эспрессо,Кофейни
окулист,Здоровье
снова зп,Зарплата
косметика,Косметика
СНОВА ЧЕМОДАН,Путешествия
снова ланч,Рестораны
куртка,Одежда
потратил на ютуб премиум,Подписки
оплата парковка,Транспорт
купила корссовки,Одежда
оплата подарко другу,Подарки
лампочка сегондя,Хозтовары
45 губки,Хозтовары
потратил на старбакс,Кофейни
билайн!,Связь
потратил на макароны,Продукты
фриланс за 349,Подработка
снова стака нкофе,Кофейни
яндекс плюс 100,Подписки
купила интернет домой,ЖКХ и аренда
снова куртка,Одежда
купил мусорные пакеты,Хозтовары
бензин!,Транспорт
вок за 1000,Рестораны
оплата ютуб премиум,Подписки
потратил на ккаао,Кофейни
снова zara,Одежда
яблоки сегодня,Продукты
мусорные пакеты за 1500,Хозтовары
45 РУБАШКА,Одежда
купил флэт уайт,Кофейни
купила подарок маме,Подарки
потратил на эспрессо,Кофейни
2000 автошкола,Учёба
окулист!,Здоровье
хозтовары,Хозтовары
овощи 990,Продукты
купил бар,Развлечения
потратил на туалетная бумага,Хозтовары
зарплата сегодня,Зарплата
купила ютуб премиум,Подписки
купил онлайн курс,Учёба
купи лхостел,Путешествия
порошок за 120,Хозтовары
КУПИЛ ЗАНЯТИЕ,Учёба
обувь,Одежда
автобус сегодня,Транспорт
хотзовары!,Хозтовары
скуратов сегодня,Кофейни
учебник сегодня,Учёба
английский сегодня,Учёба
купил цветы,Подарки
75 электричество,ЖКХ и аренда
пятёрочка,Продукты
билеты на самолёт сегодня,Путешествия
ОПЛАТА ХОЗТОВАРЫ,Хозтовары
оплата делимобиль,Транспорт
спортзал 1500,Спорт
иви сегодня,Подписки
окулист 3000,Здоровье
мусорные пакеты за 990,Хозтовары
оплата леруа,Хозтовары
ЧЕМОДАН ЗА 990,Путешествия
аэрофлот 250,Путешествия
45 окулсит,Здоровье
потратил на спортивные штаны,Одежда
купил автобус,Транспорт
подарки,Подарки
купил ашан,Продукты
оплата старбакс,Кофейни
снова платье,Одежда
кинопоиск за 3000,Подписки
снова квитанция,ЖКХ и аренда
потрати лна театр,Развлечения
врач!,Здоровье
сонва зп,Зарплата
гонорар!,Подработка
купил гонорар,Подработка
оплата шампунь,Косметика
потратил на мясо,Продукты
ПОТАРТИЛ НА МЕГАФОН,Связь
вок 990,Рестораны
потратил на скалодром,Спорт
фастфуд сегодня,Рестораны
ПОДПИСКА НА ПРИЛОЖЕНИЕ СЕГОДНЯ,Подписки
купил выплата зарплаты,Зарплата
1500 яндекс музыка,Подписки
потратил на свитер,Одежда
купила гонорар,Подработка
аэрофлот за 120,Путешествия
подарок другу!,Подарки
ри вгош,Косметика
подарочная карта,Подарки
купила лэтуаль,Косметика
буст за 45,Подписки
теннис,Спорт
потратил на занятие по вождению,Учёба
купил автошкола,Учёба
сыворотка сегодня,Косметика
снова фриланс,Подработка
ПРИШЛА ЗАРПЛАТА СЕГОДНЯ,Зарплата
купил икеа,Хозтовары
косметика за 500,Косметика
эспрессо,Кофейни
купила фриланс,Подработка
купила кофта,Одежда
500 леруа,Хозтовары
оплата выставка,Развлечения
футболка,Одежда
купила алтте,Кофейни
бензин 2000,Транспорт
снова массаж,Здоровье
купила страховка для поездки,Путешествия
цветы,Подарки
КУПИЛА ЖИЬЛЁ,Путешествия
оплата яблоки,Продукты
спортпит 500,Спорт
букинг!,Путешествия
сотовая связь за 75,Связь
маска для лица за 102,Косметика
одежда 2000,Одежда
купил рив гош,Косметика
100 СПОРПТИТ,Спорт
оплат акроссовки,Одежда
аренда!,ЖКХ и аренда
купила капучино,Кофейни
ШТАНЫ ЗА 120,Одежда
спортзал сегодня,Спорт
оплата проект,Подработка
рубашка 990,Одежда
купила йога,Спорт
снова подарок друуг,Подарки
120 билеты на концерт,Развлечения
фриланс,Подработка
проезд за 1000,Транспорт
секция за 45,Спорт
БУКИНГ!,Путешествия
учебник 100,Учёба
жильё!,Путешествия
купила подработка,Подработка
купила хлеб,Продукты
трамвай за 990,Транспорт
4 5КУРТКА,Одежда
тренировка,Спорт
купил кофе,Кофейни
бронь отеля!,Путешествия
оклад сегодня,Зарплата
делимобиль сегодня,Транспорт
ГУБИК СЕГОДНЯ,Хозтовары
потратил на теннис,Спорт
снова клиника,Здоровье
УБЕР ЗА 500,Транспорт
снова жкх,ЖКХ и аренда
кино сегодня,Развлечения
купил yota,Связь
гонорар сегодня,Подработка
349 шампунь,Косметика
губки за 990,Хозтовары
купила окулист,Здоровье
снова туалетная бумага,Хозтовары
учеба сегодня,Учёба
1500 пицца,Рестораны
потратил на аптека,Здоровье
оплата тушь,Косметика
купила выставка,Развлечения
лэтуаль,Косметика
оплата делимобиль,Транспорт
оплата серб,Учёба
купил букинг,Путешествия
яндекс такси сегодня,Транспорт
990 латте,Кофейни
оплата бензин,Транспорт
купил старбакс,Кофейни
потратил на электричество,ЖКХ и аренда
оплата скалодром,Спорт
оплата ютуб премиум,Подписки
ПОТРАТИЛ НА ШТАНЫ,Одежда
МАЗЬ,Здоровье
КУПИЛА ПОЕЛА,Рестораны
пришла зарплата!,Зарплата
купила билеты на концерт,Развлечения
снова раф,Кофейни
оплата греча,Продукты
купил аванс,Зарплата
3000 ваиабилеты,Путешествия
СНОВА УЧЕБНИК,Учёба
стендап 75,Развлечения
нсова заправка,Транспорт
лента 2000,Продукты
медцентр за 990,Здоровье
купила интернет домой,ЖКХ и аренда
фриланс за 100,Подработка
купил спортпит,Спорт
подарочная карта,Подарки
узи!,Здоровье
курс 100,Учёба
ПОТРАТИЛ НА КОФЕ НА ВЫНОС,Кофейни
купил занятие,Учёба
тушь за 45,Косметика
потратил на крем,Косметика
купил репетитор,Учёба
снова гонорар,Подработка
потратил на бензин,Транспорт
снова электричество,ЖКХ и аренда
45 открытка,Подарки
квитанцяи,ЖКХ и аренда
купила подарок маме,Подарки
купил чемодан,Путешествия
скалодром!,Спорт
буст 100,Подписки
снова кроссовки,Одежда
халтура!,Подработка
продукты сегодня,Продукты
потратил на золотое яблоко,Косметика
050 метро,Транспорт
КУПИЛА ЗАНЯТИЕ,Учёба
штаны сегодня,Одежда
снова фикс прайс,Хозтовары
мусорные пакеты 990,Хозтовары
каршеринг!,Транспорт
купил столовая,Рестораны
интернет домой за 2000,ЖКХ и аренда
ПОТРАТИЛ НА БУКИГН,Путешествия
оплата онлайн курс,Учёба
оплата ашан,Продукты
купила носки,Одежда
3000 фасфтуд,Рестораны
оплата лампочка,Хозтовары
электричка!,Транспорт
500 КОНЦЕРТ,Развлечения
снова рфиланс,Подработка
оплата додо,Рестораны
СНОВА ЭЛЕКТРИЧКА,Транспорт
тройка за 1500,Транспорт
додо сегодня,Рестораны
снова крем,Косметика
вода счёт за 75,ЖКХ и аренда
оплата хозтовары,Хозтовары
снова свитре,Одежда
050 джинсы,Одежда
леруа,Хозтовары
500 поездка в,Путешествия
вкусвилл за 2000,Продукты
купил тренировка,Спорт
500 подписка вк,Подписки
потратил на мазь,Здоровье
потратил на авиабилеты,Путешествия
караоке!,Развлечения
аренда квартиры 1500,ЖКХ и аренда
ПОТРАТИЛ НА ВЫСТАВКА,Развлечения
потратил на абонемент,Спорт
потратил на подработка выплата,Подработка
кфота,Одежда
купила заправка,Транспорт
бронь отеля 1500,Путешествия
1000 бытовая химия,Хозтовары
купил страховка для поездки,Путешествия
маска для лица,Косметика
990 греча,Продукты
мтс!,Связь
РУБАШКА!,Одежда
порошок сегодня,Хозтовары
купила бассейн,Спорт
снова яндекс плюс,Подписки
вода сегодня,Продукты
платье!,Одежда
оплата подарок другу,Подарки
отопление за 120,ЖКХ и аренда
КУПИ ЛИКЕА,Хозтовары
купила занятие по вождению,Учёба
роллы за 45,Рестораны
потратил на уходовая косметика,Косметика
500 супермаркет,Продукты
купила выплата зарплаты,Зарплата
купила раф,Кофейни
ОПЛАТА НЕТФЛИКС,Подписки
открытка!,Подарки
1000 букет,Подарки
стендап за 3000,Развлечения
потратил на аттракционы,Развлечения
купила губки,Хозтовары
ПОМАДА!,Косметика
аванс за 120,Зарплата
потратил на такси,Транспорт
349 подписка вк,Подписки
творог за 500,Продукты
бра сегодня,Развлечения
лента 1500,Продукты
аванс,Зарплата
паб сегодня,Развлечения
онлайн курс,Учёба
роллы!,Рестораны
45 подарок маме,Подарки
ПРЕМИЯ,Зарплата
купиал бургер,Рестораны
открытка!,Подарки
нсова книга,Учёба
шампуьн за 990,Косметика
уникло за 1500,Одежда
БИЛЕТЫ АН САМОЛЁТ!,Путешествия
купила гоноарр,Подработка
990 рив гош,Косметика
яндекс такси за 349,Транспорт
потратил на проезд,Транспорт
оплата хостле,Путешествия
потратил на лекарства,Здоровье
потратил на зп,Зарплата
НЕТФЛИКС,Подписки
купил фастфду,Рестораны
жильё 3000,Путешествия
подарки 349,Подарки
подарки за 3000,Подарки
нетфликс 500,Подписки
молоко 75,Продукты
потратил на лента,Продукты
ЛАМПОЧКА!,Хозтовары
куипл аэрофлот,Путешествия
молоко сегодня,Продукты
мтс за 75,Связь
спортпит за 75,Спорт
потратил на яндекс плюс,Подписки
яндексп люс 250,Подписки
349 АВАНС,Зарплата
йога!,Спорт
оплата нетфликс,Подписки
КУПИЛА БЛЕЬЁ,Одежда
ОТКРТЫКА СЕГОДНЯ,Подарки
купил кофе,Кофейни
оплата кфс,Рестораны
купил зарплата,Зарплата
выплата зарплаты сегодня,Зарплата
духи!,Косметика
3000 БОУЛИНГ,Развлечения
караоке за 250,Развлечения
вода счёт 990,ЖКХ и аренда
купила стендап,Развлечения
додо сегодня,Рестораны
349 КУРАТОВ,Кофейни
ПОДАРКИ,Подарки
снова обед,Рестораны
порошок 2000,Хозтовары
нетфликс!,Подписки
рбуашка,Одежда
100 спортзал,Спорт
кароаке 1500,Развлечения
презент!,Подарки
купила суши,Рестораны
РЕПЕТИТОРСТВОД ОХОД СЕГОДНЯ,Подработка
укпила халтура,Подработка
футболка!,Одежда
каф!е,Рестораны
потратил на заправка,Транспорт
2000 заказ,Подработка
ОПЛАТА АБОНЕМЕНТ,Спорт
купила нетфликс,Подписки
букет сегодня,Подарки
потратил на аванс,Зарплата
подарботка выплата за 500,Подработка
купила презент,Подарки
спортпит 990,Спорт
нетфликс за 1500,Подписки
летуаль,Косметика
снова джинсы,Одежда
оплата мтс,Связь
купила буст,Подписки
снова отопление,ЖКХ и аренда
снова фриланс,Подработка
презент аз 500,Подарки
1000 туалетная бумага,Хозтовары
зп,Зарплата
лампочка,Хозтовары
тариф сегодян,Связь
выставка!,Развлечения
тройка 75,Транспорт
жкхз а 250,ЖКХ и аренда
оплата средство для мытья,Хозтовары
ШАУРМА СЕГОДНЯ,Рестораны
электричество!,ЖКХ и аренда
носки!,Одежда
заказ!,Подработка
потратил на английский,Учёба
жиль!ё,Путешествия
ПОЕЛА СЕГОДНЯ,Рестораны
подработак!,Подработка
кинопосик за 250,Подписки
купила икеа,Хозтовары
оплата подписка вк,Подписки
снова спортивные штаны,Одежда
страховка для поездки за 990,Путешествия
потратил на лекарства,Здоровье
снова заправка,Транспорт
потратил на тариф,Связь
потратил на клиниак,Здоровье
купил квартплата,ЖКХ и аренда
купил духи,Косметика
МЕГАФОН,Связь
подарочная карта!,Подарки
ПОТРАТИЛ НА ЭЛЕКТРИЧЕСТВО,ЖКХ и аренда
купила буст,Подписки
стакан кофе!,Кофейни
потратил на макдак,Рестораны
1500 аренда квартиры,ЖКХ и аренда
